sentence,labelled,vectors
On 5 September 2000 Tuvalu became the 189th member of the United Nations,On 5 September 2000 Tuvalu became the 189th member of the United Nations,On 5 September 2000 Tuvalu became the 189th member of the United Nations
"Taiwan , is a state in East Asia","Taiwan , is a state in East Asia","Taiwan , is a state in East Asia"
Taiwan is the most populous state and largest economy that is not a member of the United Nations,Taiwan is the most populous state and largest economy that is not a member of the United Nations,Taiwan is the most populous state and largest economy that is not a member of the United Nations
"The island of Taiwan, formerly known as Formosa, was inhabited by Taiwanese aborigines before the 17th century, when Dutch and Spanish colonies opened the island to mass Han immigration","The island of Taiwan, formerly known as Formosa, was inhabited by Taiwanese aborigines before the 17th century, when Dutch and Spanish colonies opened the island to mass Han immigration","The island of Taiwan, formerly known as Formosa, was inhabited by Taiwanese aborigines before the 17th century, when Dutch and Spanish colonies opened the island to mass Han immigration"
The Qing ceded Taiwan to Japan in 1895 after the Sino-Japanese War,The Qing ceded Taiwan to Japan in 1895 after the Sino-Japanese War,The Qing ceded Taiwan to Japan in 1895 after the Sino-Japanese War
"While Taiwan was under Japanese rule, the Republic of China was established on the mainland in 1912 after the fall of the Qing dynasty","While Taiwan was under Japanese rule, the Republic of China was established on the mainland in 1912 after the fall of the Qing dynasty","While Taiwan was under Japanese rule, the Republic of China was established on the mainland in 1912 after the fall of the Qing dynasty"
"Following the Japanese surrender to the Allies in 1945, the ROC took control of Taiwan","Following the Japanese surrender to the Allies in 1945, the ROC took control of Taiwan","Following the Japanese surrender to the Allies in 1945, the ROC took control of Taiwan"
"However, the resumption of the Chinese Civil War led to the ROC's loss of the mainland to the Communists, and the flight of the ROC government to Taiwan in 1949","However, the resumption of the Chinese Civil War led to the ROC's loss of the mainland to the Communists, and the flight of the ROC government to Taiwan in 1949","However, the resumption of the Chinese Civil War led to the ROC's loss of the mainland to the Communists, and the flight of the ROC government to Taiwan in 1949"
"Although the ROC continued to claim to be the legitimate government of China, its effective jurisdiction has, since the loss of Hainan in 1950, been limited to Taiwan and its surrounding islands, with the main island making up 99% of its de facto territory","Although the ROC continued to claim to be the legitimate government of China, its effective jurisdiction has, since the loss of Hainan in 1950, been limited to Taiwan and its surrounding islands, with the main island making up 99% of its de facto territory","Although the ROC continued to claim to be the legitimate government of China, its effective jurisdiction has, since the loss of Hainan in 1950, been limited to Taiwan and its surrounding islands, with the main island making up 99% of its de facto territory"
"In the early 1960s, Taiwan entered a period of rapid economic growth and industrialization, creating a stable industrial economy","In the early 1960s, Taiwan entered a period of rapid economic growth and industrialization, creating a stable industrial economy","In the early 1960s, Taiwan entered a period of rapid economic growth and industrialization, creating a stable industrial economy"
"Taiwan is the 22nd-largest economy in the world, and its high-tech industry plays a key role in the global economy","Taiwan is the 22nd-largest economy in the world, and its high-tech industry plays a key role in the global economy","Taiwan is the 22nd-largest economy in the world, and its high-tech industry plays a key role in the global economy"
The PRC has consistently claimed sovereignty over Taiwan and asserted the ROC is no longer in legitimate existence,The PRC has consistently claimed sovereignty over Taiwan and asserted the ROC is no longer in legitimate existence,The PRC has consistently claimed sovereignty over Taiwan and asserted the ROC is no longer in legitimate existence
"Although Taiwan is fully self-governing, most international organizations in which the PRC participates either refuse to grant membership to Taiwan or allow it to participate only as a non-state actor","Although Taiwan is fully self-governing, most international organizations in which the PRC participates either refuse to grant membership to Taiwan or allow it to participate only as a non-state actor","Although Taiwan is fully self-governing, most international organizations in which the PRC participates either refuse to grant membership to Taiwan or allow it to participate only as a non-state actor"
"Internally, the major division in politics is between the aspirations of eventual Chinese unification or Taiwanese independence, though both sides have moderated their positions to broaden their appeal","Internally, the major division in politics is between the aspirations of eventual Chinese unification or Taiwanese independence, though both sides have moderated their positions to broaden their appeal","Internally, the major division in politics is between the aspirations of eventual Chinese unification or Taiwanese independence, though both sides have moderated their positions to broaden their appeal"
The PRC has threatened the use of military force in response to any formal declaration of independence by Taiwan or if PRC leaders decide that peaceful unification is no longer possible,The PRC has threatened the use of military force in response to any formal declaration of independence by Taiwan or if PRC leaders decide that peaceful unification is no longer possible,The PRC has threatened the use of military force in response to any formal declaration of independence by Taiwan or if PRC leaders decide that peaceful unification is no longer possible
"Turkmenistan , formerly known as Turkmenia, is a country in Central Asia, bordered by Kazakhstan to the northwest, Uzbekistan to the north and east, Afghanistan to the southeast, Iran to the south and southwest, and the Caspian Sea to the west","Turkmenistan , formerly known as Turkmenia, is a country in Central Asia, bordered by Kazakhstan to the northwest, Uzbekistan to the north and east, Afghanistan to the southeast, Iran to the south and southwest, and the Caspian Sea to the west","Turkmenistan , formerly known as Turkmenia, is a country in Central Asia, bordered by Kazakhstan to the northwest, Uzbekistan to the north and east, Afghanistan to the southeast, Iran to the south and southwest, and the Caspian Sea to the west"
Turkmenistan has been at the crossroads of civilizations for centuries,Turkmenistan has been at the crossroads of civilizations for centuries,Turkmenistan has been at the crossroads of civilizations for centuries
"Annexed by the Russian Empire in 1881, Turkmenistan later figured prominently in the anti-Bolshevik movement in Central Asia","Annexed by the Russian Empire in 1881, Turkmenistan later figured prominently in the anti-Bolshevik movement in Central Asia","Annexed by the Russian Empire in 1881, Turkmenistan later figured prominently in the anti-Bolshevik movement in Central Asia"
"In 1925, Turkmenistan became a constituent republic of the Soviet Union, Turkmen Soviet Socialist Republic ; it became independent upon the dissolution of the Soviet Union in 1991","In 1925, Turkmenistan became a constituent republic of the Soviet Union, Turkmen Soviet Socialist Republic ; it became independent upon the dissolution of the Soviet Union in 1991","In 1925, Turkmenistan became a constituent republic of the Soviet Union, Turkmen Soviet Socialist Republic ; it became independent upon the dissolution of the Soviet Union in 1991"
Turkmenistan possesses the world's fourth largest reserves of natural gas resources,Turkmenistan possesses the world's fourth largest reserves of natural gas resources,Turkmenistan possesses the world's fourth largest reserves of natural gas resources
Turkmenistan was ruled by President for Life Saparmurat Niyazov until his death in 2006,Turkmenistan was ruled by President for Life Saparmurat Niyazov until his death in 2006,Turkmenistan was ruled by President for Life Saparmurat Niyazov until his death in 2006
"According to Human Rights Watch, ""Turkmenistan remains one of the world's most repressive countries","According to Human Rights Watch, ""Turkmenistan remains one of the world's most repressive countries","According to Human Rights Watch, ""Turkmenistan remains one of the world's most repressive countries"
"Uganda , officially the Republic of Uganda, is a landlocked country in East Africa","Uganda , officially the Republic of Uganda, is a landlocked country in East Africa","Uganda , officially the Republic of Uganda, is a landlocked country in East Africa"
Uganda is in the African Great Lakes region,Uganda is in the African Great Lakes region,Uganda is in the African Great Lakes region
"Uganda also lies within the Nile basin, and has a varied but generally a modified equatorial climate","Uganda also lies within the Nile basin, and has a varied but generally a modified equatorial climate","Uganda also lies within the Nile basin, and has a varied but generally a modified equatorial climate"
"Uganda takes its name from the Buganda kingdom, which encompasses a large portion of the south of the country, including the capital Kampala","Uganda takes its name from the Buganda kingdom, which encompasses a large portion of the south of the country, including the capital Kampala","Uganda takes its name from the Buganda kingdom, which encompasses a large portion of the south of the country, including the capital Kampala"
"The people of Uganda were hunter-gatherers until 1,700 to 2,300 years ago, when Bantu-speaking populations migrated to the southern parts of the country","The people of Uganda were hunter-gatherers until 1,700 to 2,300 years ago, when Bantu-speaking populations migrated to the southern parts of the country","The people of Uganda were hunter-gatherers until 1,700 to 2,300 years ago, when Bantu-speaking populations migrated to the southern parts of the country"
Uganda gained independence from Britain on 9 October 1962,Uganda gained independence from Britain on 9 October 1962,Uganda gained independence from Britain on 9 October 1962
""" Luganda, a central language, is widely spoken across the country, and several other languages are also spoken including Runyoro, Runyankole, Rukiga, and Luo",""" Luganda, a central language, is widely spoken across the country, and several other languages are also spoken including Runyoro, Runyankole, Rukiga, and Luo",""" Luganda, a central language, is widely spoken across the country, and several other languages are also spoken including Runyoro, Runyankole, Rukiga, and Luo"
"The president of Uganda is Yoweri Kaguta Museveni, who came to power in January 1986 after a protracted six-year guerrilla war","The president of Uganda is Yoweri Kaguta Museveni, who came to power in January 1986 after a protracted six-year guerrilla war","The president of Uganda is Yoweri Kaguta Museveni, who came to power in January 1986 after a protracted six-year guerrilla war"
"The United Kingdom of Great Britain and Northern Ireland, commonly known as the United Kingdom or simply Britain, is a sovereign country in western Europe","The United Kingdom of Great Britain and Northern Ireland, commonly known as the United Kingdom or simply Britain, is a sovereign country in western Europe","The United Kingdom of Great Britain and Northern Ireland, commonly known as the United Kingdom or simply Britain, is a sovereign country in western Europe"
"Lying off the north-western coast of the European mainland, the United Kingdom includes the island of Great Britain, the north-eastern part of the island of Ireland and many smaller islands","Lying off the north-western coast of the European mainland, the United Kingdom includes the island of Great Britain, the north-eastern part of the island of Ireland and many smaller islands","Lying off the north-western coast of the European mainland, the United Kingdom includes the island of Great Britain, the north-eastern part of the island of Ireland and many smaller islands"
Northern Ireland is the only part of the United Kingdom that shares a land border with another sovereign state?—?the Republic of Ireland,Northern Ireland is the only part of the United Kingdom that shares a land border with another sovereign state?—?the Republic of Ireland,Northern Ireland is the only part of the United Kingdom that shares a land border with another sovereign state?—?the Republic of Ireland
"Apart from this land border, the United Kingdom is surrounded by the Atlantic Ocean, with the North Sea to its east, the English Channel to its south and the Celtic Sea to its south-south-west, giving it the 12th-longest coastline in the world","Apart from this land border, the United Kingdom is surrounded by the Atlantic Ocean, with the North Sea to its east, the English Channel to its south and the Celtic Sea to its south-south-west, giving it the 12th-longest coastline in the world","Apart from this land border, the United Kingdom is surrounded by the Atlantic Ocean, with the North Sea to its east, the English Channel to its south and the Celtic Sea to its south-south-west, giving it the 12th-longest coastline in the world"
"With an area of 242,500 square kilometres , the United Kingdom is the 78th-largest sovereign state in the world and the 11th-largest in Europe","With an area of 242,500 square kilometres , the United Kingdom is the 78th-largest sovereign state in the world and the 11th-largest in Europe","With an area of 242,500 square kilometres , the United Kingdom is the 78th-largest sovereign state in the world and the 11th-largest in Europe"
The United Kingdom is a constitutional monarchy with a parliamentary democracy,The United Kingdom is a constitutional monarchy with a parliamentary democracy,The United Kingdom is a constitutional monarchy with a parliamentary democracy
"The capital of the United Kingdom and its largest city is London, a global city and financial centre with an urban area population of 10","The capital of the United Kingdom and its largest city is London, a global city and financial centre with an urban area population of 10","The capital of the United Kingdom and its largest city is London, a global city and financial centre with an urban area population of 10"
"Other major urban areas in the United Kingdom include the conurbations centred on Birmingham, Leeds, Glasgow, Liverpool and Manchester","Other major urban areas in the United Kingdom include the conurbations centred on Birmingham, Leeds, Glasgow, Liverpool and Manchester","Other major urban areas in the United Kingdom include the conurbations centred on Birmingham, Leeds, Glasgow, Liverpool and Manchester"
"The United Kingdom consists of four countries—England, Scotland, Wales and Northern Ireland","The United Kingdom consists of four countries—England, Scotland, Wales and Northern Ireland","The United Kingdom consists of four countries—England, Scotland, Wales and Northern Ireland"
"The nearby Isle of Man, Bailiwick of Guernsey and Bailiwick of Jersey are not part of the United Kingdom, being Crown dependencies with the British Government responsible for defence and international representation","The nearby Isle of Man, Bailiwick of Guernsey and Bailiwick of Jersey are not part of the United Kingdom, being Crown dependencies with the British Government responsible for defence and international representation","The nearby Isle of Man, Bailiwick of Guernsey and Bailiwick of Jersey are not part of the United Kingdom, being Crown dependencies with the British Government responsible for defence and international representation"
"A treaty between England and Scotland resulted in 1707 in a unified Kingdom of Great Britain, which merged in 1801 with the Kingdom of Ireland to form the United Kingdom of Great Britain and Ireland","A treaty between England and Scotland resulted in 1707 in a unified Kingdom of Great Britain, which merged in 1801 with the Kingdom of Ireland to form the United Kingdom of Great Britain and Ireland","A treaty between England and Scotland resulted in 1707 in a unified Kingdom of Great Britain, which merged in 1801 with the Kingdom of Ireland to form the United Kingdom of Great Britain and Ireland"
"Five-sixths of Ireland seceded from the UK in 1922, leaving the present formulation of the United Kingdom of Great Britain and Northern Ireland","Five-sixths of Ireland seceded from the UK in 1922, leaving the present formulation of the United Kingdom of Great Britain and Northern Ireland","Five-sixths of Ireland seceded from the UK in 1922, leaving the present formulation of the United Kingdom of Great Britain and Northern Ireland"
The United Kingdom is a developed country and has the world's fifth-largest economy by nominal GDP and ninth-largest economy by purchasing power parity,The United Kingdom is a developed country and has the world's fifth-largest economy by nominal GDP and ninth-largest economy by purchasing power parity,The United Kingdom is a developed country and has the world's fifth-largest economy by nominal GDP and ninth-largest economy by purchasing power parity
"Ukraine yoo-KRAYN; Ukrainian: ???????, translit","Ukraine yoo-KRAYN; Ukrainian: ???????, translit","Ukraine yoo-KRAYN; Ukrainian: ???????, translit"
"Ukrajina [ukr??jin?]), sometimes called the Ukraine, is a sovereign state in Eastern Europe, bordered by Russia to the east and northeast; Belarus to the northwest; Poland, Hungary, and Slovakia to the west; Romania and Moldova to the southwest; and the Black Sea and Sea of Azov to the south and southeast, respectively","Ukrajina [ukr??jin?]), sometimes called the Ukraine, is a sovereign state in Eastern Europe, bordered by Russia to the east and northeast; Belarus to the northwest; Poland, Hungary, and Slovakia to the west; Romania and Moldova to the southwest; and the Black Sea and Sea of Azov to the south and southeast, respectively","Ukrajina [ukr??jin?]), sometimes called the Ukraine, is a sovereign state in Eastern Europe, bordered by Russia to the east and northeast; Belarus to the northwest; Poland, Hungary, and Slovakia to the west; Romania and Moldova to the southwest; and the Black Sea and Sea of Azov to the south and southeast, respectively"
"Ukraine is currently in territorial dispute with Russia over the Crimean Peninsula, which Russia annexed in 2014 but which Ukraine and most of the international community recognise as Ukrainian","Ukraine is currently in territorial dispute with Russia over the Crimean Peninsula, which Russia annexed in 2014 but which Ukraine and most of the international community recognise as Ukrainian","Ukraine is currently in territorial dispute with Russia over the Crimean Peninsula, which Russia annexed in 2014 but which Ukraine and most of the international community recognise as Ukrainian"
"Including Crimea, Ukraine has an area of 603,628 km2 , making it the largest country entirely within Europe and the 46th largest country in the world","Including Crimea, Ukraine has an area of 603,628 km2 , making it the largest country entirely within Europe and the 46th largest country in the world","Including Crimea, Ukraine has an area of 603,628 km2 , making it the largest country entirely within Europe and the 46th largest country in the world"
"Excluding Crimea, Ukraine has a population of about 42","Excluding Crimea, Ukraine has a population of about 42","Excluding Crimea, Ukraine has a population of about 42"
"The territory of modern Ukraine has been inhabited since 32,000 BC","The territory of modern Ukraine has been inhabited since 32,000 BC","The territory of modern Ukraine has been inhabited since 32,000 BC"
"However, both of these first two earlier periods would eventually see Ukraine's territories consolidated back into a Soviet republic within the USSR","However, both of these first two earlier periods would eventually see Ukraine's territories consolidated back into a Soviet republic within the USSR","However, both of these first two earlier periods would eventually see Ukraine's territories consolidated back into a Soviet republic within the USSR"
"The third period of independence began in 1991, when Ukraine gained its independence from the Soviet Union in the aftermath of its dissolution at the end of the Cold War","The third period of independence began in 1991, when Ukraine gained its independence from the Soviet Union in the aftermath of its dissolution at the end of the Cold War","The third period of independence began in 1991, when Ukraine gained its independence from the Soviet Union in the aftermath of its dissolution at the end of the Cold War"
Ukraine has maintained its independence as a sovereign state ever since,Ukraine has maintained its independence as a sovereign state ever since,Ukraine has maintained its independence as a sovereign state ever since
"Before its independence, Ukraine was typically referred to in English as ""The Ukraine"", but sources since then have moved to drop ""the"" from the name of Ukraine in all uses","Before its independence, Ukraine was typically referred to in English as ""The Ukraine"", but sources since then have moved to drop ""the"" from the name of Ukraine in all uses","Before its independence, Ukraine was typically referred to in English as ""The Ukraine"", but sources since then have moved to drop ""the"" from the name of Ukraine in all uses"
"Following its independence, Ukraine declared itself a neutral state","Following its independence, Ukraine declared itself a neutral state","Following its independence, Ukraine declared itself a neutral state"
"In the 2000s, the government began leaning towards NATO, and a deeper cooperation with the alliance was set by the NATO-Ukraine Action Plan signed in 2002","In the 2000s, the government began leaning towards NATO, and a deeper cooperation with the alliance was set by the NATO-Ukraine Action Plan signed in 2002","In the 2000s, the government began leaning towards NATO, and a deeper cooperation with the alliance was set by the NATO-Ukraine Action Plan signed in 2002"
"Former President Viktor Yanukovych considered the current level of co-operation between Ukraine and NATO sufficient, and was against Ukraine joining NATO","Former President Viktor Yanukovych considered the current level of co-operation between Ukraine and NATO sufficient, and was against Ukraine joining NATO","Former President Viktor Yanukovych considered the current level of co-operation between Ukraine and NATO sufficient, and was against Ukraine joining NATO"
"In 2013, after the government of President Yanukovych had decided to suspend the Ukraine-European Union Association Agreement and seek closer economic ties with Russia, a several-months-long wave of demonstrations and protests known as the Euromaidan began, which later escalated into the 2014 Ukrainian revolution that led to the overthrow of President Yanukovych and his cabinet and the establishment of a new government","In 2013, after the government of President Yanukovych had decided to suspend the Ukraine-European Union Association Agreement and seek closer economic ties with Russia, a several-months-long wave of demonstrations and protests known as the Euromaidan began, which later escalated into the 2014 Ukrainian revolution that led to the overthrow of President Yanukovych and his cabinet and the establishment of a new government","In 2013, after the government of President Yanukovych had decided to suspend the Ukraine-European Union Association Agreement and seek closer economic ties with Russia, a several-months-long wave of demonstrations and protests known as the Euromaidan began, which later escalated into the 2014 Ukrainian revolution that led to the overthrow of President Yanukovych and his cabinet and the establishment of a new government"
"On 1 January 2016, Ukraine applied the economic part of the Deep and Comprehensive Free Trade Area with the European Union","On 1 January 2016, Ukraine applied the economic part of the Deep and Comprehensive Free Trade Area with the European Union","On 1 January 2016, Ukraine applied the economic part of the Deep and Comprehensive Free Trade Area with the European Union"
"Ukraine has long been a global breadbasket because of its extensive, fertile farmlands and is one of the world's largest grain exporters","Ukraine has long been a global breadbasket because of its extensive, fertile farmlands and is one of the world's largest grain exporters","Ukraine has long been a global breadbasket because of its extensive, fertile farmlands and is one of the world's largest grain exporters"
"The diversified economy of Ukraine includes a large heavy industry sector, particularly in aerospace and industrial equipment","The diversified economy of Ukraine includes a large heavy industry sector, particularly in aerospace and industrial equipment","The diversified economy of Ukraine includes a large heavy industry sector, particularly in aerospace and industrial equipment"
"Ukraine is a unitary republic under a semi-presidential system with separate powers: legislative, executive and judicial branches","Ukraine is a unitary republic under a semi-presidential system with separate powers: legislative, executive and judicial branches","Ukraine is a unitary republic under a semi-presidential system with separate powers: legislative, executive and judicial branches"
"Taking into account reserves and paramilitary personnel, Ukraine maintains the second-largest military in Europe after that of Russia","Taking into account reserves and paramilitary personnel, Ukraine maintains the second-largest military in Europe after that of Russia","Taking into account reserves and paramilitary personnel, Ukraine maintains the second-largest military in Europe after that of Russia"
"The United States of America , commonly known as the United States (U","The United States of America , commonly known as the United States (U","The United States of America , commonly known as the United States (U"
"8 million km2) and with over 325 million people, the United States is the world's third- or fourth-largest country by total area and the third-most populous","8 million km2) and with over 325 million people, the United States is the world's third- or fourth-largest country by total area and the third-most populous","8 million km2) and with over 325 million people, the United States is the world's third- or fourth-largest country by total area and the third-most populous"
"The extremely diverse geography, climate, and wildlife of the United States make it one of the world's 17 megadiverse countries","The extremely diverse geography, climate, and wildlife of the United States make it one of the world's 17 megadiverse countries","The extremely diverse geography, climate, and wildlife of the United States make it one of the world's 17 megadiverse countries"
The United States emerged from the thirteen British colonies established along the East Coast,The United States emerged from the thirteen British colonies established along the East Coast,The United States emerged from the thirteen British colonies established along the East Coast
The war ended in 1783 with the United States becoming the first country to gain independence from a European power,The war ended in 1783 with the United States becoming the first country to gain independence from a European power,The war ended in 1783 with the United States becoming the first country to gain independence from a European power
"The United States embarked on a vigorous expansion across North America throughout the 19th century, acquiring new territories, displacing Native American tribes, and gradually admitting new states until it spanned the continent by 1848","The United States embarked on a vigorous expansion across North America throughout the 19th century, acquiring new territories, displacing Native American tribes, and gradually admitting new states until it spanned the continent by 1848","The United States embarked on a vigorous expansion across North America throughout the 19th century, acquiring new territories, displacing Native American tribes, and gradually admitting new states until it spanned the continent by 1848"
"By the end of the century, the United States had extended into the Pacific Ocean, and its economy, driven in large part by the Industrial Revolution, began to soar","By the end of the century, the United States had extended into the Pacific Ocean, and its economy, driven in large part by the Industrial Revolution, began to soar","By the end of the century, the United States had extended into the Pacific Ocean, and its economy, driven in large part by the Industrial Revolution, began to soar"
"The United States emerged from World War II as a global superpower, the first country to develop nuclear weapons, the only country to use them in warfare, and a permanent member of the United Nations Security Council","The United States emerged from World War II as a global superpower, the first country to develop nuclear weapons, the only country to use them in warfare, and a permanent member of the United Nations Security Council","The United States emerged from World War II as a global superpower, the first country to develop nuclear weapons, the only country to use them in warfare, and a permanent member of the United Nations Security Council"
"During the Cold War, the United States and the Soviet Union competed in the Space Race, culminating with the 1969 moon landing","During the Cold War, the United States and the Soviet Union competed in the Space Race, culminating with the 1969 moon landing","During the Cold War, the United States and the Soviet Union competed in the Space Race, culminating with the 1969 moon landing"
The end of the Cold War and the collapse of the Soviet Union in 1991 left the United States as the world's sole superpower,The end of the Cold War and the collapse of the Soviet Union in 1991 left the United States as the world's sole superpower,The end of the Cold War and the collapse of the Soviet Union in 1991 left the United States as the world's sole superpower
"The United States is a founding member of the United Nations, World Bank, International Monetary Fund, Organization of American States , and other international organizations","The United States is a founding member of the United Nations, World Bank, International Monetary Fund, Organization of American States , and other international organizations","The United States is a founding member of the United Nations, World Bank, International Monetary Fund, Organization of American States , and other international organizations"
"The United States is a highly developed country, with the world's largest economy by nominal GDP and second-largest economy by PPP, accounting for approximately a quarter of global GDP","The United States is a highly developed country, with the world's largest economy by nominal GDP and second-largest economy by PPP, accounting for approximately a quarter of global GDP","The United States is a highly developed country, with the world's largest economy by nominal GDP and second-largest economy by PPP, accounting for approximately a quarter of global GDP"
"The United States ranks among the highest nations in several measures of socioeconomic performance, including average wage, human development, per capita GDP, and productivity per person","The United States ranks among the highest nations in several measures of socioeconomic performance, including average wage, human development, per capita GDP, and productivity per person","The United States ranks among the highest nations in several measures of socioeconomic performance, including average wage, human development, per capita GDP, and productivity per person"
Burkina Faso is a landlocked country in West Africa,Burkina Faso is a landlocked country in West Africa,Burkina Faso is a landlocked country in West Africa
Burkina Faso is a francophone country and French is an official language of government and business,Burkina Faso is a francophone country and French is an official language of government and business,Burkina Faso is a francophone country and French is an official language of government and business
"Formerly called the Republic of Upper Volta, the country was renamed ""Burkina Faso"" on 4 August 1984 by then-President Thomas Sankara","Formerly called the Republic of Upper Volta, the country was renamed ""Burkina Faso"" on 4 August 1984 by then-President Thomas Sankara","Formerly called the Republic of Upper Volta, the country was renamed ""Burkina Faso"" on 4 August 1984 by then-President Thomas Sankara"
The citizens of Burkina Faso are known as Burkinabé ,The citizens of Burkina Faso are known as Burkinabé ,The citizens of Burkina Faso are known as Burkinabé 
The northwestern part of present-day Burkina Faso was populated by hunter-gatherers from 14000 BC to 5000 BC,The northwestern part of present-day Burkina Faso was populated by hunter-gatherers from 14000 BC to 5000 BC,The northwestern part of present-day Burkina Faso was populated by hunter-gatherers from 14000 BC to 5000 BC
"From the 3rd to the 13th centuries AD, the Iron Age Bura culture existed in the territory of present-day southeastern Burkina Faso and southwestern Niger","From the 3rd to the 13th centuries AD, the Iron Age Bura culture existed in the territory of present-day southeastern Burkina Faso and southwestern Niger","From the 3rd to the 13th centuries AD, the Iron Age Bura culture existed in the territory of present-day southeastern Burkina Faso and southwestern Niger"
"Various ethnic groups of present-day Burkina Faso, such as the Mossi, Fula and Dyula, arrived in successive waves between the 8th and 15th centuries","Various ethnic groups of present-day Burkina Faso, such as the Mossi, Fula and Dyula, arrived in successive waves between the 8th and 15th centuries","Various ethnic groups of present-day Burkina Faso, such as the Mossi, Fula and Dyula, arrived in successive waves between the 8th and 15th centuries"
"In the 1890s, during the European Scramble for Africa, the territory of Burkina Faso was invaded by France, and colonial control was established following a war of conquest between 1896 and 1904","In the 1890s, during the European Scramble for Africa, the territory of Burkina Faso was invaded by France, and colonial control was established following a war of conquest between 1896 and 1904","In the 1890s, during the European Scramble for Africa, the territory of Burkina Faso was invaded by France, and colonial control was established following a war of conquest between 1896 and 1904"
"Sankara renamed the country Burkina Faso and launched an ambitious socioeconomic program which included a nationwide literacy campaign, land redistribution to peasants, railway and road construction and the outlawing of female genital mutilation, forced marriages and polygamy","Sankara renamed the country Burkina Faso and launched an ambitious socioeconomic program which included a nationwide literacy campaign, land redistribution to peasants, railway and road construction and the outlawing of female genital mutilation, forced marriages and polygamy","Sankara renamed the country Burkina Faso and launched an ambitious socioeconomic program which included a nationwide literacy campaign, land redistribution to peasants, railway and road construction and the outlawing of female genital mutilation, forced marriages and polygamy"
"Uruguay , is a sovereign state in the southeastern region of South America","Uruguay , is a sovereign state in the southeastern region of South America","Uruguay , is a sovereign state in the southeastern region of South America"
Uruguay is home to an estimated 3,Uruguay is home to an estimated 3,Uruguay is home to an estimated 3
"With an area of approximately 176,000 square kilometres , Uruguay is geographically the second-smallest nation in South America, after Suriname","With an area of approximately 176,000 square kilometres , Uruguay is geographically the second-smallest nation in South America, after Suriname","With an area of approximately 176,000 square kilometres , Uruguay is geographically the second-smallest nation in South America, after Suriname"
"Uruguay was inhabited by the Charrúa people for approximately 4,000 years before the Portuguese established Colonia del Sacramento, one of the oldest European settlements in the region, in 1680","Uruguay was inhabited by the Charrúa people for approximately 4,000 years before the Portuguese established Colonia del Sacramento, one of the oldest European settlements in the region, in 1680","Uruguay was inhabited by the Charrúa people for approximately 4,000 years before the Portuguese established Colonia del Sacramento, one of the oldest European settlements in the region, in 1680"
"Uruguay won its independence between 1811 and 1828, following a four-way struggle between Spain, Portugal, Argentina and Brazil","Uruguay won its independence between 1811 and 1828, following a four-way struggle between Spain, Portugal, Argentina and Brazil","Uruguay won its independence between 1811 and 1828, following a four-way struggle between Spain, Portugal, Argentina and Brazil"
"Modern Uruguay is a democratic constitutional republic, with a president who serves as both head of state and head of government","Modern Uruguay is a democratic constitutional republic, with a president who serves as both head of state and head of government","Modern Uruguay is a democratic constitutional republic, with a president who serves as both head of state and head of government"
"Uruguay is ranked first in Latin America in democracy, peace, lack of corruption, e-government, and is first in South America when it comes to press freedom, size of the middle class and prosperity","Uruguay is ranked first in Latin America in democracy, peace, lack of corruption, e-government, and is first in South America when it comes to press freedom, size of the middle class and prosperity","Uruguay is ranked first in Latin America in democracy, peace, lack of corruption, e-government, and is first in South America when it comes to press freedom, size of the middle class and prosperity"
"On a per-capita basis, Uruguay contributes more troops to United Nations peace-keeping missions than any other country","On a per-capita basis, Uruguay contributes more troops to United Nations peace-keeping missions than any other country","On a per-capita basis, Uruguay contributes more troops to United Nations peace-keeping missions than any other country"
"Uruguay is the third-best country on the continent in terms of HDI, GDP growth, innovation and infrastructure","Uruguay is the third-best country on the continent in terms of HDI, GDP growth, innovation and infrastructure","Uruguay is the third-best country on the continent in terms of HDI, GDP growth, innovation and infrastructure"
Uruguay is also the third-best ranked in the world in e-Participation,Uruguay is also the third-best ranked in the world in e-Participation,Uruguay is also the third-best ranked in the world in e-Participation
"Uruguay is an important global exporter of combed wool, rice, soybeans, frozen beef, malt and milk","Uruguay is an important global exporter of combed wool, rice, soybeans, frozen beef, malt and milk","Uruguay is an important global exporter of combed wool, rice, soybeans, frozen beef, malt and milk"
"Nearly 95% of Uruguay's electricity comes from renewable energy, mostly hydroelectric facilities and wind parks","Nearly 95% of Uruguay's electricity comes from renewable energy, mostly hydroelectric facilities and wind parks","Nearly 95% of Uruguay's electricity comes from renewable energy, mostly hydroelectric facilities and wind parks"
"The Economist named Uruguay ""country of the year"" in 2013, acknowledging the innovative policy of legalizing the production, sale and consumption of cannabis","The Economist named Uruguay ""country of the year"" in 2013, acknowledging the innovative policy of legalizing the production, sale and consumption of cannabis","The Economist named Uruguay ""country of the year"" in 2013, acknowledging the innovative policy of legalizing the production, sale and consumption of cannabis"
"Same-sex marriage and abortion are also legal, leading Uruguay to be regarded as one of the most progressive nations in the world, and one of the most socially developed, outstanding regionally, and ranking highly on global measures of personal rights, tolerance, and inclusion issues","Same-sex marriage and abortion are also legal, leading Uruguay to be regarded as one of the most progressive nations in the world, and one of the most socially developed, outstanding regionally, and ranking highly on global measures of personal rights, tolerance, and inclusion issues","Same-sex marriage and abortion are also legal, leading Uruguay to be regarded as one of the most progressive nations in the world, and one of the most socially developed, outstanding regionally, and ranking highly on global measures of personal rights, tolerance, and inclusion issues"
